Id,SalePrice
1461,198206.48661244116
1462,119862.93745466512
1463,199244.23271074588
1464,190598.10610496564
1465,136984.37953654453
1466,187500.78245865137
1467,168764.4368795643
1468,169476.63793942347
1469,198658.50179978786
1470,176868.60540957536
1471,121867.07165893844
1472,102618.85479386162
1473,102618.85479386162
1474,107794.99021890064
1475,107794.99021890064
1476,225590.27854844232
1477,217218.23007378486
1478,208435.09072128584
1479,205504.88917047784
1480,238865.24805105675
1481,231408.10506916486
1482,141979.21320522836
1483,242312.68541896736
1484,130961.8412322647
1485,190074.24616297087
1486,170061.51263601004
1487,196488.663673385
1488,182001.29300001077
1489,202845.3559326454
1490,198483.87680601006
1491,188632.94216377343
1492,181547.60298226777
1493,167531.55692364866
1494,208574.63451277243
1495,205031.12374698676
1496,117391.11103940698
1497,127776.78826137983
1498,117261.59367129044
1499,108677.3154754655
1500,108677.3154754655
1501,155583.349769981
1502,153654.93434180706
1503,178010.80657740613
1504,171342.3788219479
1505,186101.2514636612
1506,180569.19680815857
1507,195429.1673389359
1508,208579.6815629694
1509,191448.677261024
1510,191448.677261024
1511,203020.82210145603
1512,200171.65055363334
1513,181050.4651299212
1514,222706.0182786591
1515,179179.69975620773
1516,259661.70239193962
1517,181524.08168735067
1518,176424.10064016958
1519,174072.37965722973
1520,172528.0052653743
1521,202607.23777719325
1522,192892.48222631193
1523,166238.94436592847
1524,174821.56277069572
1525,236997.809779128
1526,194204.29141640078
1527,169906.09931393949
1528,165176.14348870263
1529,185938.3202039805
1530,191983.41984076024
1531,154267.39486208258
1532,148986.81940685617
1533,167138.79894413493
1534,150716.38871769464
1535,187345.38417591952
1536,173159.66993768775
1537,178952.4341598198
1538,170309.6722541709
1539,157734.88507673328
1540,210732.79394441686
1541,173518.12773258856
1542,150311.14846673628
1543,171669.0749966729
1544,144366.32058332636
1545,147708.4617066781
1546,147708.4617066781
1547,152082.48326211268
1548,147708.4617066781
1549,150624.47607696784
1550,150624.47607696784
1551,149166.46889182297
1552,162105.55697137522
1553,181338.7379612316
1554,140023.20443369614
1555,231514.2274494179
1556,186442.1648975817
1557,171312.3145911764
1558,163566.05760294126
1559,167177.23732688816
1560,158438.38698402554
1561,186913.4067959743
1562,169578.56948385102
1563,169685.5179997983
1564,170435.8249221561
1565,203228.04237077315
1566,212673.8044390753
1567,205106.3106427582
1568,202714.2238914871
1569,264857.10172980855
1570,181874.30667666206
1571,158904.6344699064
1572,185913.2654250593
1573,179751.2510063168
1574,183055.74980393224
1575,202573.82388562904
1576,208074.98065499667
1577,167051.07713923365
1578,209053.40186844455
1579,198592.50015235363
1580,176829.34089112797
1581,165906.44268233626
1582,171679.93507540642
1583,194085.6266073485
1584,185411.94425655654
1585,160446.1651044578
1586,174957.74186205099
1587,176231.9312854115
1588,171793.58291293905
1589,208287.20285649484
1590,164582.0685044402
1591,163876.04307204948
1592,161843.1800940188
1593,171993.262685638
1594,158758.9150509514
1595,161595.89172956804
1596,192182.28099743434
1597,209387.62350044906
1598,230305.2360968054
1599,124859.1065803631
1600,124859.1065803631
1601,163363.03568911896
1602,158202.78483400252
1603,173683.55243869047
1604,134050.81328560523
1605,201579.53314159726
1606,184609.07962028703
1607,188269.48995636095
1608,207577.83528298078
1609,184728.48015666578
1610,184725.13801554244
1611,215783.6329158421
1612,206906.89105288126
1613,185311.69506219466
1614,115574.64605936132
1615,101937.05800469787
1616,103354.12584099901
1617,103320.7044297655
1618,150893.5221972323
1619,198206.4941321105
1620,170293.56441461868
1621,176404.8964881316
1622,181920.25547735614
1623,188196.78146767206
1624,196339.91207455323
1625,196496.99270735076
1626,198738.7131867483
1627,201839.37897418588
1628,185034.29734895646
1629,162840.07676911697
1630,128786.97109500355
1631,163947.0692106727
1632,161834.84354038374
1633,164876.1919626338
1634,163291.17589513224
1635,175044.63753125814
1636,160341.740113609
1637,204420.35309644623
1638,189907.13910680328
1639,195887.04067283508
1640,187026.21345847409
1641,196421.78325257136
1642,172189.60783688293
1643,170689.82764753082
1644,173931.70453718203
1645,176949.65797156864
1646,191139.5329669486
1647,201579.53314159726
1648,171792.7342182369
1649,174065.3901821161
1650,161747.10669614375
1651,168304.38758015985
1652,102618.85479386162
1653,102618.85479386162
1654,107888.57017035449
1655,107794.99021890064
1656,108025.5979564119
1657,108075.73007326218
1658,108075.73007326218
1659,107206.77338119074
1660,172947.01623626903
1661,238721.53598275263
1662,216493.81910538106
1663,216493.81910538106
1664,231551.81713746898
1665,213913.68615815352
1666,267536.60549458116
1667,215050.081817117
1668,201410.75125503333
1669,192529.03001889942
1670,227782.72312536105
1671,212973.7183667975
1672,242120.49350520136
1673,220598.8020602205
1674,181073.01894275183
1675,147558.9065311601
1676,127862.8577948928
1677,193811.57103523365
1678,230087.13318974673
1679,249479.03956411968
1680,146012.3363660811
1681,147172.0518162148
1682,267202.391382246
1683,137172.36557514642
1684,177918.88641700996
1685,164859.48125701706
1686,130891.65626867433
1687,168697.92657735184
1688,167022.67269951978
1689,173121.2465942732
1690,175586.06439324113
1691,172942.4307646699
1692,188707.31044352002
1693,171814.46941504267
1694,147384.28905705162
1695,166240.61167665548
1696,198750.44451919198
1697,168682.0420074293
1698,229356.8640747904
1699,181551.78629842395
1700,188670.52433215515
1701,184700.08323662129
1702,203117.75171370254
1703,191360.11428108983
1704,198504.76330811367
1705,185680.1492017882
1706,201840.22014921872
1707,196647.3589792243
1708,179784.61977986505
1709,235317.56148878424
1710,179145.42965027204
1711,199028.6458091164
1712,170664.76534894033
1713,200159.12316417278
1714,175877.6643263362
1715,170671.44963118705
1716,191465.38796664073
1717,166462.0266461602
1718,166462.0266461602
1719,211795.60234131204
1720,189028.97460738663
1721,185084.43698547606
1722,185084.43698547606
1723,179834.77445572332
1724,163773.2778722584
1725,158664.8490037272
1726,174539.1330465992
1727,151635.47752661636
1728,179238.18346603174
1729,179960.92712370853
1730,181652.03549278586
1731,173981.8441737016
1732,174028.6266297592
1733,175967.06848130323
1734,176759.1559275376
1735,171662.39071442618
1736,167406.1777536724
1737,198015.1734720546
1738,185559.01350532268
1739,118255.87689565292
1740,158424.16972483
1741,159717.5783395671
1742,120764.15004889373
1743,124394.54896421722
1744,194733.19088892319
1745,242598.41968584064
1746,191448.677261024
1747,188175.91000490708
1748,194122.39015970536
1749,186860.17320169602
1750,184158.64133529965
1751,191658.4210554396
1752,164168.48418017742
1753,191448.677261024
1754,191448.677261024
1755,200769.0977576964
1756,163077.27886323773
1757,170664.76534894033
1758,177207.00283806672
1759,190725.96368202448
1760,195897.89323189933
1761,231449.86303403345
1762,175602.77509885788
1763,202999.94311902174
1764,179326.7539656352
1765,203020.82210145603
1766,207383.9835781571
1767,208476.88628450103
